strain,tsc,sex,filepaths,file_lengths,file_train_end,file_test_start,sfreq,exclusions,source,testfold0,testfold1,testfold2,testfold3,testfold4
TBXD1_M3_HET_1,BXD87,Het,M,['/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD1_M3_HET_1/Default_0003_2022-05-11_19_21_53_export.edf'],[92055040],[46027520],[46027520],256.0,,Jax_Lab,0.0,0.0,1.0,0.0,1.0
TBXD12_F6_HET_9,BXD87,Het,F,"['/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F6_HET_9/Default_0001_2022-06-16_13_51_22_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F6_HET_9/9-EEG_0002_2022-06-17_09_30_11_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F6_HET_9/9_0003_2022-07-04_17_27_12_export.edf']","[16727040, 48366080, 59112960]","[16727040, 45376000, None]","[None, 45376000, 0]",256.0,"[None, [[840960, 2807040], [2899200, 4865280], [22222080, 24218880]], [[6570496, 8551936], [9980416, 11961856], [12222976, 14219776], [14788096, 16769536], [44878336, 46844416], [57227776, 59224576], [60253696, 62235136]]]",Jax_Lab,0.0,1.0,0.0,1.0,0.0
TBXD12_F4_HET_16,BXD87,Het,F,"['/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F4_HET_16/16_0003_2022-07-04_17_22_40_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F4_HET_16/16-EEG_0001_2022-06-17_09_29_08_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F4_HET_16/Default_0001_2022-06-16_14_01_22_export.edf']","[80087040, 53498880, 16550400]","[5018880, 53498880, 16550400]","[5018880, None, None]",256.0,,Jax_Lab,0.0,1.0,1.0,1.0,1.0
TBXD12_F2_HET_17,BXD87,Het,F,"['/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F2_HET_17/17_0003_2022-07-04_17_17_47_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F2_HET_17/17_0001_2022-06-17_15_33_45_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F2_HET_17/17EEG_0001_2022-06-18_12_18_38_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F2_HET_17/Default_0001_2022-06-16_14_08_36_export.edf']","[63377920, 3929344, 47692801, 3047936]","[4353919, 3929344, 47692801, 3047936]","[4353919, None, None, None]",256.0,"[[[44270336, 48924416], [50475776, 53486336]], [[0, 1062656]], [[0, 1218048], [1817088, 3783168], [20325888, 22291968], [52843008, 56616959]], [[0, 1158144]]]",Jax_Lab,1.0,0.0,0.0,0.0,0.0
TBXD12_F1_HET_8,BXD87,Het,F,"['/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F1_HET_8/8_0002_2022-06-29_08_16_53_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F1_HET_8/8_0001_2022-06-22_14_18_31_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F1_HET_8/8-EEG_0003_2022-06-17_09_31_41_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F1_HET_8/8_0001_2022-06-23_09_14_51_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F1_HET_8/8_0001_2022-06-21_11_09_50_export.edf']","[94336000, 16770560, 7621120, 13544960, 4062720]","[26168320, 16770560, 7621120, 13544960, 4062720]","[26168320, None, None, None, None]",256.0,,Jax_Lab,1.0,0.0,0.0,0.0,0.0
TBXD1_M1_HET_3,BXD87,Het,M,['/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD1_M1_HET_3/Default_0001_2022-05-11_19_21_45_export.edf'],[104261120],[52130560],[52130560],256.0,,Jax_Lab,1.0,0.0,0.0,1.0,0.0
TBXD12_M2_HET_15,BXD87,Het,M,['/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_M2_HET_15/15_0002_2022-06-27_11_23_35_export.edf'],[119956480],[59978240],[59978240],256.0,,Jax_Lab,1.0,0.0,1.0,1.0,1.0
TBXD12_F5_HET_10,BXD87,Het,F,"['/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F5_HET_10/10_0001_2022-06-21_11_12_29_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F5_HET_10/10_0001_2022-06-22_14_21_30_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F5_HET_10/10_0002_2022-06-27_11_10_29_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F5_HET_10/10_0001_2022-06-25_15_17_26_export.edf', '/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD12_F5_HET_10/10_0001_2022-06-23_09_15_50_export.edf']","[22763520, 16576000, 33518080, 9354240, 31823360]","[22763520, 16576000, None, 9354240, 8323840]","[None, None, 0, None, 8323840]",256.0,,Jax_Lab,0.0,1.0,0.0,1.0,1.0
TBXD1_F3_HET_6,BXD87,Het,F,['/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD1_F3_HET_6/Default_0001_2022-05-16_17_56_53_export.edf'],[46929920],[23464960],[23464960],256.0,"[[[8204032, 10170112], [12028672, 14025472], [14808832, 16790272], [17266432, 19386112], [20584192, 26175232], [27066112, 30644992], [31551232, 33532672], [42042112, 53485312]]]",Jax_Lab,0.0,1.0,1.0,0.0,1.0
TBXD1_F1_HET_7,BXD87,Het,F,['/Users/Shared/Mice_Jax_Lab/BXD87/HET/TBXD1_F1_HET_7/Default_0001_2022-05-16_17_57_00_export.edf'],[110284800],[55142400],[55142400],256.0,,Jax_Lab,1.0,1.0,1.0,0.0,0.0
